train_scenario,test_type,stack_type,stage1_pct,asr,false_positive_rate,accuracy,precision,recall,f1_score
clean,clean,standard,1.0,,,0.9849,0.969824,0.98536,0.97753
clean,clean,ganopt,1.0,,,0.98418,0.969454,0.98353,0.976442
poison_05,clean,standard,1.0,,,0.98446,0.972214,0.98143,0.9768
poison_05,gan_attack,standard,0.95,,,0.739403,0.897747,0.246265,0.386506
poison_05,clean,ganopt,1.0,,,0.98205,0.968898,0.97753,0.973195
poison_05,gan_attack,ganopt,0.95,,,0.794772,0.929813,0.415702,0.574538
poison_10,clean,standard,1.0,,,0.98382,0.97295,0.97867,0.975802
poison_10,gan_attack,standard,0.95,,,0.719243,0.871748,0.184946,0.305153
poison_10,clean,ganopt,1.0,,,0.97979,0.969982,0.969371,0.969676
poison_10,gan_attack,ganopt,0.95,,,0.788422,0.929458,0.395272,0.554662
poison_15,clean,standard,1.0,,,0.98327,0.974095,0.97576,0.974927
poison_15,gan_attack,standard,0.95,,,0.720993,0.879241,0.188936,0.311035
poison_15,clean,ganopt,1.0,,,0.97832,0.967649,0.967301,0.967475
poison_15,gan_attack,ganopt,0.95,,,0.787952,0.924536,0.396202,0.554695
poison_50,clean,standard,1.0,,,0.97519,0.972437,0.952571,0.962402
poison_50,gan_attack,standard,0.95,,,0.766202,0.92343,0.325613,0.481458
poison_50,clean,ganopt,1.0,,,0.96045,0.951915,0.928241,0.939929
poison_50,gan_attack,ganopt,0.95,,,0.811462,0.911223,0.48128,0.629878
