poison_rate,stack_type,test_type,train_time_s,accuracy,precision,recall,f1_score
5,standard,clean,458.27,0.98449,0.965412,0.9889,0.977015
5,standard,gan_attack,458.27,0.848722,0.942581,0.581598,0.719343
5,ganopt,clean,59.03,0.9831,0.961902,0.98845,0.974996
5,ganopt,gan_attack,59.03,0.826902,0.929967,0.51986,0.66691
10,standard,clean,505.01,0.98429,0.968522,0.98488,0.976633
10,standard,gan_attack,505.01,0.799782,0.930921,0.431361,0.589545
10,ganopt,clean,59.0,0.982,0.959358,0.98785,0.973396
10,ganopt,gan_attack,59.0,0.818112,0.922219,0.49619,0.645224
15,standard,clean,441.08,0.9837,0.962967,0.98914,0.975878
15,standard,gan_attack,441.08,0.832782,0.933779,0.536389,0.681376
15,ganopt,clean,59.06,0.98216,0.959109,0.98863,0.973646
15,ganopt,gan_attack,59.06,0.798102,0.911934,0.436461,0.590367
50,standard,clean,492.52,0.98234,0.960632,0.98749,0.973876
50,standard,gan_attack,492.52,0.857171,0.937974,0.611988,0.7407
50,ganopt,clean,59.08,0.97978,0.955487,0.98524,0.970136
50,ganopt,gan_attack,59.08,0.815072,0.91453,0.49112,0.639055
