train_scenario,test_type,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate,dede_low_thr,dede_high_thr
clean,clean,0.9777,0.94935,0.98569,0.967179,1.0,24.0,75.0,,,,
clean,gan_attack,0.95049,0.945028,0.904062,0.924091,0.95,23.86,75.19,,,,
clean,trigger_10,0.98247,0.950038,1.0,0.974379,34.02,15.82,50.16,0.0,1.03,,
poison_05,clean,0.97725,0.952689,0.98044,0.966366,1.0,49.0,50.0,,,0.0003707507567014545,0.011956844478845596
poison_05,gan_attack,0.948981,0.94844,0.895632,0.92128,1.06,55.98,42.96,,,0.0003707507567014545,0.011956844478845596
poison_05,trigger_10,0.98377,0.953572,1.0,0.976234,33.94,33.58,32.49,0.0,0.9,0.0003707507567014545,0.011956844478845596
poison_10,clean,0.97522,0.951401,0.97549,0.963295,1.0,49.0,50.0,,,0.0003889214131049812,0.009938079863786697
poison_10,gan_attack,0.946931,0.947016,0.890622,0.917954,1.33,56.9,41.76,,,0.0003889214131049812,0.009938079863786697
poison_10,trigger_10,0.98339,0.952536,1.0,0.975691,34.01,34.16,31.83,0.0,1.01,0.0003889214131049812,0.009938079863786697
poison_15,clean,0.97494,0.952847,0.972971,0.962804,1.0,49.0,50.0,,,0.00034612827585078776,0.010717133060097694
poison_15,gan_attack,0.96012,0.9507,0.928511,0.939475,1.27,58.24,40.49,,,0.00034612827585078776,0.010717133060097694
poison_15,trigger_10,0.98395,0.954063,1.0,0.976491,33.93,33.69,32.38,0.0,0.9,0.00034612827585078776,0.010717133060097694
poison_50,clean,0.96018,0.933483,0.948101,0.940735,1.0,49.0,50.0,,,0.0003537662560120225,0.0102534843608737
poison_50,gan_attack,0.95794,0.93304,0.941381,0.937192,1.54,60.13,38.33,,,0.0003537662560120225,0.0102534843608737
poison_50,trigger_10,0.97748,0.936717,1.0,0.967324,33.99,30.81,35.2,0.0,0.98,0.0003537662560120225,0.0102534843608737
