train_scenario,test_type,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate,dede_low_thr,dede_high_thr
clean,clean,0.9777,0.94935,0.98569,0.967179,1.0,24.0,75.0,,,,
clean,gan_attack,0.95049,0.945028,0.904062,0.924091,0.95,23.86,75.19,,,,
clean,trigger_10,0.98247,0.950038,1.0,0.974379,34.02,15.82,50.16,0.0,1.03,,
poison_05,clean,0.97772,0.952517,0.98212,0.967092,1.0,24.0,75.0,,,0.0008483121055178344,0.011956844478845596
poison_05,gan_attack,0.942791,0.947145,0.877332,0.910903,1.06,24.93,74.01,,,0.0008483121055178344,0.011956844478845596
poison_05,trigger_10,0.98368,0.953326,1.0,0.976105,33.94,16.34,49.72,0.0,0.9,0.0008483121055178344,0.011956844478845596
poison_10,clean,0.97577,0.950374,0.9784,0.964184,1.0,24.0,75.0,,,0.0008133724913932383,0.009938079863786697
poison_10,gan_attack,0.943601,0.945241,0.881892,0.912469,1.33,25.5,73.16,,,0.0008133724913932383,0.009938079863786697
poison_10,trigger_10,0.98297,0.951394,1.0,0.975092,34.01,14.94,51.05,0.0,1.01,0.0008133724913932383,0.009938079863786697
poison_15,clean,0.97634,0.952696,0.97756,0.964968,1.0,24.0,75.0,,,0.0008761239005252719,0.010717133060097694
poison_15,gan_attack,0.9526,0.949167,0.906342,0.92726,1.27,25.93,72.8,,,0.0008761239005252719,0.010717133060097694
poison_15,trigger_10,0.98382,0.953708,1.0,0.976306,33.93,16.05,50.02,0.0,0.9,0.0008761239005252719,0.010717133060097694
poison_50,clean,0.96518,0.939724,0.956921,0.948245,1.0,24.0,75.0,,,0.0013984927209094167,0.0102534843608737
poison_50,gan_attack,0.937411,0.934354,0.873613,0.902963,1.54,24.16,74.3,,,0.0013984927209094167,0.0102534843608737
poison_50,trigger_10,0.97954,0.942171,1.0,0.970224,33.99,16.16,49.85,0.0,0.98,0.0013984927209094167,0.0102534843608737
