train_scenario,test_type,dede_low_thr,dede_high_thr,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.00045254915312398225,0.012812755629420388,0.95582,0.894015,0.98413,0.936911,1.03,49.66,49.31,,
clean,gan_attack,0.00045254915312398225,0.012812755629420388,0.96064,0.895389,0.99859,0.944178,9.38,59.31,31.31,,
clean,trigger_10,0.00045254915312398225,0.012812755629420388,0.96111,0.895522,1.0,0.944881,34.05,35.35,30.59,0.0,1.08
poison_05,clean,0.00033509524655528367,0.013238627491518854,0.95797,0.902262,0.98008,0.939563,0.9,49.57,49.53,,
poison_05,gan_attack,0.00033509524655528367,0.013238627491518854,0.96386,0.903826,0.99775,0.948469,8.97,58.01,33.02,,
poison_05,trigger_10,0.00033509524655528367,0.013238627491518854,0.96461,0.904022,1.0,0.949592,33.96,33.02,33.02,0.0,0.8
poison_10,clean,0.00047867553075775504,0.011675578625872731,0.949221,0.88454,0.974921,0.927534,1.0,49.33,49.67,,
poison_10,gan_attack,0.00047867553075775504,0.011675578625872731,0.95694,0.886916,0.99808,0.93922,10.06,56.33,33.61,,
poison_10,trigger_10,0.00047867553075775504,0.011675578625872731,0.95758,0.887109,1.0,0.940178,34.02,32.72,33.27,0.0,1.02
poison_15,clean,0.00041923197568394244,0.012906271088868401,0.95188,0.896778,0.966941,0.930539,1.01,49.84,49.14,,
poison_15,gan_attack,0.00041923197568394244,0.012906271088868401,0.96151,0.899472,0.99583,0.945201,8.26,60.22,31.51,,
poison_15,trigger_10,0.00041923197568394244,0.012906271088868401,0.9629,0.899849,1.0,0.947285,33.85,34.98,31.17,0.0,0.77
poison_50,clean,0.0003613651788327843,0.010778756570071102,0.816272,0.856979,0.538729,0.66157,1.03,50.03,48.94,,
poison_50,gan_attack,0.0003613651788327843,0.010778756570071102,0.9696,0.917411,0.99871,0.956336,10.65,59.79,29.57,,
poison_50,trigger_10,0.0003613651788327843,0.010778756570071102,0.97003,0.917508,1.0,0.95698,33.96,36.48,29.56,0.0,0.94
