train_scenario,test_type,accuracy,precision,recall,f1_score,stage1_pct,asr,false_positive_rate
clean,clean,0.97759,0.950662,0.98383,0.966962,1.0,,
clean,gan_attack,0.95116,0.946569,0.904542,0.925078,0.95,,
clean,trigger_10,0.98298,0.951421,1.0,0.975106,100.0,0.0,1.03
poison_05,clean,0.97601,0.950777,0.9787,0.964536,1.0,,
poison_05,gan_attack,0.95137,0.946969,0.904782,0.925395,0.95,,
poison_05,trigger_10,0.98311,0.951775,1.0,0.975291,100.0,0.0,1.03
poison_10,clean,0.97401,0.950726,0.972431,0.961456,1.0,,
poison_10,gan_attack,0.95182,0.947296,0.905862,0.926116,0.95,,
poison_10,trigger_10,0.9832,0.952019,1.0,0.97542,100.0,0.0,1.03
poison_15,clean,0.97252,0.949292,0.969341,0.959212,1.0,,
poison_15,gan_attack,0.95298,0.946204,0.910722,0.928124,0.95,,
poison_15,trigger_10,0.98274,0.95077,1.0,0.974764,100.0,0.0,1.03
poison_50,clean,0.95537,0.923391,0.944471,0.933812,1.0,,
poison_50,gan_attack,0.947671,0.92162,0.921372,0.921496,0.95,,
poison_50,trigger_10,0.97388,0.927335,1.0,0.962298,100.0,0.0,1.03
