train_scenario,test_type,accuracy,precision,recall,f1_score,stage1_pct,asr,false_positive_rate
clean,clean,0.97831,0.951052,0.98566,0.968047,1.0,,
clean,gan_attack,0.949691,0.946631,0.899802,0.922623,0.95,,
clean,trigger_10,0.98309,0.95172,1.0,0.975263,100.0,0.0,1.03
poison_05,clean,0.97788,0.952118,0.98308,0.967352,1.0,,
poison_05,gan_attack,0.938391,0.945912,0.864613,0.903437,0.95,,
poison_05,trigger_10,0.98352,0.95289,1.0,0.975877,100.0,0.0,1.03
poison_10,clean,0.97744,0.953323,0.98032,0.966633,1.0,,
poison_10,gan_attack,0.930821,0.945975,0.840463,0.890103,0.95,,
poison_10,trigger_10,0.984,0.954199,1.0,0.976563,100.0,0.0,1.03
poison_15,clean,0.97688,0.951979,0.98008,0.965825,1.0,,
poison_15,gan_attack,0.937201,0.9457,0.861043,0.901388,0.95,,
poison_15,trigger_10,0.98352,0.95289,1.0,0.975877,100.0,0.0,1.03
poison_50,clean,0.97193,0.947046,0.970031,0.958401,1.0,,
poison_50,gan_attack,0.95505,0.944292,0.919392,0.931676,0.95,,
poison_50,trigger_10,0.98192,0.948552,1.0,0.973597,100.0,0.0,1.03
