train_scenario,test_type,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.9777,0.94935,0.98569,0.967179,1.0,24.0,75.0,,
clean,gan_attack,0.95049,0.945028,0.904062,0.924091,0.95,23.86,75.19,,
clean,trigger_10,0.98247,0.950038,1.0,0.974379,34.02,15.82,50.16,0.0,1.03
poison_05,clean,0.97667,0.950033,0.98164,0.965578,1.0,24.0,75.0,,
poison_05,gan_attack,0.943061,0.94463,0.880812,0.911606,0.95,23.86,75.19,,
poison_05,trigger_10,0.98279,0.950906,1.0,0.974835,34.02,15.82,50.16,0.0,1.03
poison_10,clean,0.97606,0.950285,0.97942,0.964633,1.0,24.0,75.0,,
poison_10,gan_attack,0.939351,0.944338,0.869293,0.905263,0.95,23.86,75.19,,
poison_10,trigger_10,0.98292,0.951258,1.0,0.97502,34.02,15.82,50.16,0.0,1.03
poison_15,clean,0.97505,0.948985,0.97771,0.963134,1.0,24.0,75.0,,
poison_15,gan_attack,0.943781,0.943875,0.883902,0.912905,0.95,23.86,75.19,,
poison_15,trigger_10,0.98248,0.950066,1.0,0.974393,34.02,15.82,50.16,0.0,1.03
poison_50,clean,0.96473,0.934517,0.961571,0.947851,1.0,24.0,75.0,,
poison_50,gan_attack,0.95142,0.931873,0.921642,0.926729,0.95,23.86,75.19,,
poison_50,trigger_10,0.97754,0.936875,1.0,0.967409,34.02,15.82,50.16,0.0,1.03
