run_id,dataset,model,attack,model_accuracy,attack_accuracy,processed_dataset,model_path,adversarial_samples,timestamp
lsvm_cicids2017_20251205_102503,cicids2017,lsvm,none,0.8966525361789212,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/lsvm_model_lsvm_cicids2017_20251205_102503.pkl,,2025-12-05T10:25:05.858639
lsvm_cicids2017_20251205_102709,cicids2017,lsvm,none,0.8966525361789212,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/lsvm_model_lsvm_cicids2017_20251205_102709.pkl,,2025-12-05T10:27:11.575830
knn_cicids2017_20251205_102959,cicids2017,knn,none,0.992252594649905,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/knn_model_knn_cicids2017_20251205_102959.pkl,,2025-12-05T10:30:01.396407
autoencoder_cicids2017_20251205_103037,cicids2017,autoencoder,none,0.7101300979388978,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/autoencoder_model_autoencoder_cicids2017_20251205_103037.h5,,2025-12-05T10:30:49.042780
lda_cicids2017_20251205_103103,cicids2017,lda,none,0.8685864639672563,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/lda_model_lda_cicids2017_20251205_103103.pkl,,2025-12-05T10:31:05.244621
qsvm_cicids2017_20251205_103115,cicids2017,qsvm,none,0.927203625200994,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/qsvm_model_qsvm_cicids2017_20251205_103115.pkl,,2025-12-05T10:31:30.815264
mlp_classifier_cicids2017_20251205_103152,cicids2017,mlp_classifier,none,0.9954684987574915,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_20251205_103152.pkl,,2025-12-05T10:32:16.408707
mlp_classifier_cicids2017_20251205_104214,cicids2017,mlp_classifier,gan,0.9954684987574915,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_20251205_104214.pkl,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/results/adversarial_samples/gan_adversarial_samples_mlp_classifier_cicids2017_20251205_104214.npy,2025-12-05T10:44:05.543609
latent_defense_cicids2017_20251205_105539,cicids2017,latent_defense,none,0.9769039614091507,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,None,,2025-12-05T10:56:03.319919
lsvm_cicids2017_latent_20251205_110956,cicids2017_latent,lsvm,none,0.8677093992106417,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_latent.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/lsvm_model_lsvm_cicids2017_latent_20251205_110956.pkl,,2025-12-05T11:10:18.800699
mlp_classifier_cicids2017_latent_20251205_111147,cicids2017_latent,mlp_classifier,none,0.976173074111972,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_latent.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_latent_20251205_111147.pkl,,2025-12-05T11:12:07.771291
mlp_classifier_cicids2017_latent_20251205_160946,cicids2017_latent,mlp_classifier,gan,0.98450518929981,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_latent.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_latent_20251205_160946.pkl,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/results/adversarial_samples/gan_adversarial_samples_mlp_classifier_cicids2017_latent_20251205_160946.npy,2025-12-05T16:11:33.564653
mlp_classifier_cicids2017_20251216_102404,cicids2017,mlp_classifier,none,1.0,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_20251216_102404.pkl,,2025-12-16T10:24:09.668852
mlp_classifier_cicids2017_20251216_102453,cicids2017,mlp_classifier,none,1.0,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_20251216_102453.pkl,,2025-12-16T10:24:57.724360
mlp_classifier_cicids2017_20251216_102717,cicids2017,mlp_classifier,none,1.0,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_20251216_102717.pkl,,2025-12-16T10:27:22.559205
mlp_classifier_cicids2017_20251216_103038,cicids2017,mlp_classifier,none,1.0,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_20251216_103038.pkl,,2025-12-16T10:30:56.661498
mlp_classifier_cicids2017_20251216_103408,cicids2017,mlp_classifier,none,0.9941529016225698,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/mlp_model_mlp_classifier_cicids2017_20251216_103408.pkl,,2025-12-16T10:35:05.080504
lsvm_cicids2017_20251216_103608,cicids2017,lsvm,none,0.8966525361789212,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/lsvm_model_lsvm_cicids2017_20251216_103608.pkl,,2025-12-16T10:36:11.133222
knn_cicids2017_20251216_103625,cicids2017,knn,none,0.992252594649905,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/knn_model_knn_cicids2017_20251216_103625.pkl,,2025-12-16T10:36:27.875890
lda_cicids2017_20251216_103640,cicids2017,lda,none,0.8685864639672563,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/lda_model_lda_cicids2017_20251216_103640.pkl,,2025-12-16T10:36:43.082726
qsvm_cicids2017_20251216_103653,cicids2017,qsvm,none,0.927203625200994,,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/datasets/processed/cicids2017_processed.csv,/run/media/mtu/4AE886A9E886933D/NCKH2025/NCKH_code/ids_research/models/artifacts/qsvm_model_qsvm_cicids2017_20251216_103653.pkl,,2025-12-16T10:37:12.689660
