poison_rate,level,model,trained_on,test_type,accuracy,precision,recall,f1_score
5,1,MLP,poisoned_5pct,clean,0.97106,0.942751,0.972221,0.957259
5,1,MLP,poisoned_5pct,gan_attack,0.947481,0.938535,0.901482,0.919635
5,1,SVM,poisoned_5pct,clean,0.834212,0.789428,0.685486,0.733795
5,1,SVM,poisoned_5pct,gan_attack,0.855441,0.803817,0.749175,0.775535
5,1,RF,poisoned_5pct,clean,0.99213,0.981023,0.99565,0.988283
5,1,RF,poisoned_5pct,gan_attack,0.825632,0.962633,0.49616,0.654815
5,1,KNN,poisoned_5pct,clean,0.97912,0.976747,0.960221,0.968413
5,1,KNN,poisoned_5pct,gan_attack,0.942361,0.973809,0.849943,0.90767
10,1,MLP,poisoned_10pct,clean,0.96741,0.931282,0.974111,0.952215
10,1,MLP,poisoned_10pct,gan_attack,0.96249,0.930298,0.959351,0.944601
10,1,SVM,poisoned_10pct,clean,0.840462,0.817339,0.671447,0.737244
10,1,SVM,poisoned_10pct,gan_attack,0.837392,0.815268,0.662237,0.730827
10,1,RF,poisoned_10pct,clean,0.992,0.9825,0.9937,0.988068
10,1,RF,poisoned_10pct,gan_attack,0.772232,0.949732,0.334403,0.494642
10,1,KNN,poisoned_10pct,clean,0.97053,0.977618,0.932951,0.954762
10,1,KNN,poisoned_10pct,gan_attack,0.936311,0.97492,0.830293,0.896813
15,1,MLP,poisoned_15pct,clean,0.937181,0.859218,0.970571,0.911506
15,1,MLP,poisoned_15pct,gan_attack,0.935371,0.858538,0.965141,0.908724
15,1,SVM,poisoned_15pct,clean,0.839922,0.825505,0.659087,0.732969
15,1,SVM,poisoned_15pct,gan_attack,0.827482,0.816949,0.621768,0.706119
15,1,RF,poisoned_15pct,clean,0.99184,0.983323,0.99235,0.987816
15,1,RF,poisoned_15pct,gan_attack,0.742293,0.935406,0.243715,0.386682
15,1,KNN,poisoned_15pct,clean,0.96094,0.978411,0.902742,0.939054
15,1,KNN,poisoned_15pct,gan_attack,0.933961,0.976335,0.821804,0.892429
50,1,MLP,poisoned_50pct,clean,0.667233,0.952381,0.0018,0.003593
50,1,MLP,poisoned_50pct,gan_attack,0.670173,0.991597,0.01062,0.021015
50,1,SVM,poisoned_50pct,clean,0.705113,0.933093,0.124258,0.21931
50,1,SVM,poisoned_50pct,gan_attack,0.706173,0.934653,0.127437,0.224293
50,1,RF,poisoned_50pct,clean,0.791002,0.998077,0.373733,0.543827
50,1,RF,poisoned_50pct,gan_attack,0.673213,0.965861,0.02037,0.039898
50,1,KNN,poisoned_50pct,clean,0.823342,0.982449,0.47858,0.643629
50,1,KNN,poisoned_50pct,gan_attack,0.794602,0.978674,0.392362,0.560152
