attack_type,accuracy,precision,recall,f1_score,stage1_pct,stage2_pct,asr,dede_detect_rate,false_positive_rate
clean_std,0.98558,0.962471,0.99556,0.978736,1.0,99.0,,,
clean_ganopt,0.97791,0.951545,0.98383,0.967418,1.0,99.0,,,
gan_std,0.895561,0.949211,0.725505,0.822417,0.95,99.05,,,
gan_ganopt,0.945781,0.946563,0.887442,0.91605,0.95,99.05,,,
poison_05,0.98534,0.96344,0.99373,0.978351,1.0,99.0,,,
poison_10,0.98505,0.964274,0.9919,0.977892,1.0,99.0,,,
poison_15,0.98457,0.963683,0.99106,0.97718,1.0,99.0,,,
poison_50,0.97805,0.963033,0.971441,0.967219,1.0,99.0,,,
trigger_05,0.98706,0.962631,1.0,0.98096,100.0,0.0,0.0,100.0,1.03
trigger_10,0.98706,0.962631,1.0,0.98096,100.0,0.0,0.0,100.0,1.03
trigger_15,0.98706,0.962631,1.0,0.98096,100.0,0.0,0.0,100.0,1.03
