train_scenario,test_type,accuracy,precision,recall,f1_score,stage1_pct,asr,false_positive_rate
clean,clean,0.9779,0.951439,0.98392,0.967407,1.0,,
clean,gan_attack,0.945721,0.946439,0.887382,0.91596,0.95,,
clean,trigger_10,0.98326,0.952182,1.0,0.975506,100.0,0.0,1.03
poison_05,clean,0.97634,0.952035,0.97831,0.964994,1.0,,
poison_05,gan_attack,0.945701,0.947323,0.886392,0.915845,0.95,,
poison_05,trigger_10,0.98357,0.953026,1.0,0.975948,100.0,0.0,1.03
poison_10,clean,0.97418,0.951677,0.971891,0.961678,1.0,,
poison_10,gan_attack,0.945201,0.947181,0.884952,0.91501,0.95,,
poison_10,trigger_10,0.98355,0.952972,1.0,0.97592,100.0,0.0,1.03
poison_15,clean,0.97285,0.951381,0.968021,0.959629,1.0,,
poison_15,gan_attack,0.945321,0.947086,0.885432,0.915222,0.95,,
poison_15,trigger_10,0.98351,0.952863,1.0,0.975863,100.0,0.0,1.03
poison_50,clean,0.95325,0.92804,0.932021,0.930026,1.0,,
poison_50,gan_attack,0.933361,0.923495,0.872353,0.897195,0.95,,
poison_50,trigger_10,0.97591,0.932602,1.0,0.965126,100.0,0.0,1.03
