train_scenario,test_type,accuracy,precision,recall,f1_score,stage1_pct,asr,false_positive_rate
clean,clean,0.98557,0.962416,0.99559,0.978722,1.0,,
clean,gan_attack,0.895461,0.949121,0.725265,0.822229,0.95,,
clean,trigger_10,0.98704,0.962576,1.0,0.980931,100.0,0.0,1.03
poison_05,clean,0.98548,0.963995,0.99355,0.978549,1.0,,
poison_05,gan_attack,0.757842,0.893288,0.310644,0.46098,0.95,,
poison_05,trigger_10,0.98763,0.964219,1.0,0.981783,100.0,0.0,1.03
poison_10,clean,0.98499,0.964593,0.99136,0.977794,1.0,,
poison_10,gan_attack,0.717153,0.837726,0.187856,0.306893,0.95,,
poison_10,trigger_10,0.98787,0.964888,1.0,0.98213,100.0,0.0,1.03
poison_15,clean,0.98444,0.963209,0.99118,0.976994,1.0,,
poison_15,gan_attack,0.718353,0.835955,0.192926,0.313501,0.95,,
poison_15,trigger_10,0.98738,0.963522,1.0,0.981422,100.0,0.0,1.03
poison_50,clean,0.97896,0.964318,0.972881,0.96858,1.0,,
poison_50,gan_attack,0.898311,0.953061,0.730935,0.827349,0.95,,
poison_50,trigger_10,0.988,0.965252,1.0,0.982319,100.0,0.0,1.03
