train_scenario,test_type,accuracy,precision,recall,f1_score,route_trigger,route_ganopt,route_standard,asr,false_positive_rate
clean,clean,0.98315,0.958455,0.99247,0.975166,1.0,24.0,75.0,,
clean,gan_attack,0.917871,0.948766,0.796634,0.86607,0.95,23.86,75.19,,
clean,trigger_10,0.98566,0.958755,1.0,0.978943,34.02,15.82,50.16,0.0,1.03
poison_05,clean,0.98247,0.959173,0.98953,0.974115,1.0,24.0,75.0,,
poison_05,gan_attack,0.813492,0.91973,0.4826,0.633035,0.95,23.86,75.19,,
poison_05,trigger_10,0.98596,0.959583,1.0,0.979375,34.02,15.82,50.16,0.0,1.03
poison_10,clean,0.98161,0.959419,0.98656,0.9728,1.0,24.0,75.0,,
poison_10,gan_attack,0.776102,0.898659,0.370043,0.524224,0.95,23.86,75.19,,
poison_10,trigger_10,0.98609,0.959942,1.0,0.979562,34.02,15.82,50.16,0.0,1.03
poison_15,clean,0.98094,0.959554,0.98431,0.971775,1.0,24.0,75.0,,
poison_15,gan_attack,0.777452,0.900108,0.373853,0.528286,0.95,23.86,75.19,,
poison_15,trigger_10,0.98617,0.960164,1.0,0.979677,34.02,15.82,50.16,0.0,1.03
poison_50,clean,0.96992,0.947075,0.963611,0.955271,1.0,24.0,75.0,,
poison_50,gan_attack,0.912401,0.936266,0.791054,0.857556,0.95,23.86,75.19,,
poison_50,trigger_10,0.98205,0.948903,1.0,0.973781,34.02,15.82,50.16,0.0,1.03
